"GO_0016","            IDA/C0202546845R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  0.221
"GO_0016","            IDA/C0202546900R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.410
"GO_0016","            IDA/C0202546945R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.503
"GO_0016","            IDA/C0202547000R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.641
"GO_0016","            IDA/C0202547045R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.641
"GO_0016","            IDA/C0202549100R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  0.363
"GO_0016","            IDA/C0202549145R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.247
"GO_0016","            IDA/C0202551400R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  0.502
"GO_0016","            IDA/C0202551445R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.488
"GO_0016","            IDA/C0202551545R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.690
"GO_0016","            IDA/C0202551600R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.673
"GO_0016","            IDA/C0202553700R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  0.499
"GO_0016","            IDA/C0202553800R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.512
"GO_0016","            IDA/C0202553900R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.694
"GO_0016","            IDA/C0202553945R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.675
"GO_0016","            IDA/C0202554800R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  0.614
