"GO_0002","        RAW_CAL/C0011892300R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.618
"GO_0002","        RAW_CAL/C0011892313R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.617
"GO_0002","        RAW_CAL/C0011892326R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.605
"GO_0002","        RAW_CAL/C0011892339R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.639
"GO_0002","        RAW_CAL/C0011892352R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.601
"GO_0002","        RAW_CAL/C0011892365R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.606
"GO_0002","        RAW_CAL/C0011893300R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.216
"GO_0002","        RAW_CAL/C0011893313R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.218
"GO_0002","        RAW_CAL/C0011893900R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.621
"GO_0002","        RAW_CAL/C0011893913R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.614
