"GO_0021","     E19/EUROPA/C0484884500R.LBL","IM8",  1,  1,800,800, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 10,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.932
"GO_0021","     E19/EUROPA/C0484884513R.LBL","IM8",  1,  1,240,800, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  6,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                  CKE19AHC.PLT","                          NULL",  3.841
"GO_0021","     E19/EUROPA/C0484884514R.LBL","IM8",  1,  1,120, 80, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  1, -1,"   UNK","    UNK","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                  CKE19AHC.PLT","                          NULL",  4.361
"GO_0021","     E19/EUROPA/C0484884700R.LBL","IM8",  1,  1,800,800, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  5.039
"GO_0021","     E19/EUROPA/C0484884701R.LBL","IM8",289,129,136,128, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  1, -1,"   UNK","    UNK","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.782
"GO_0021","     E19/EUROPA/C0484884713R.LBL","IM8",  1,  1,800,800, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  5.157
"GO_0021","     E19/EUROPA/C0484884726R.LBL","IM8",  1,  1,800,800, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  6,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                   MIPS_NAV.CK","                          NULL",  5.166
"GO_0021","     E19/EUROPA/C0484884727R.LBL","IM8",145,  1, 16,800, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  1,  9,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                   MIPS_NAV.CK","                          NULL",  5.171
"GO_0021","     E19/EUROPA/C0484888200R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  3,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.876
"GO_0021","     E19/EUROPA/C0484888204R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  3,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.491
"GO_0021","     E19/EUROPA/C0484888207R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  3,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.580
"GO_0021","     E19/EUROPA/C0484888211R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  4,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.753
"GO_0021","     E19/EUROPA/C0484888242R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  4,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.918
"GO_0021","     E19/EUROPA/C0484888243R.LBL","AI8",345,  1, 16,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  1,  5,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.796
"GO_0021","     E19/EUROPA/C0484888246R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  4,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.941
"GO_0021","     E19/EUROPA/C0484888249R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  4,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                  MIPS_NEAR.CK","                          NULL",  4.945
"GO_0021","     E19/EUROPA/C0484888253R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  3,"ZIGZAG","UNIFORM","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                   MIPS_NAV.CK","                          NULL",  5.016
