"GO_0008","        RAW_CAL/C0164386600R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.439
"GO_0008","        RAW_CAL/C0164386645R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.445
"GO_0008","        RAW_CAL/C0164386700R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.462
"GO_0008","        RAW_CAL/C0164386745R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.432
"GO_0008","        RAW_CAL/C0164386800R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.480
"GO_0008","        RAW_CAL/C0164386845R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.439
"GO_0008","        RAW_CAL/C0164386900R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.478
"GO_0008","        RAW_CAL/C0164386945R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.439
"GO_0008","        RAW_CAL/C0164387000R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.435
"GO_0008","        RAW_CAL/C0164387045R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.439
