urn:nasa:pds:context:target:star.alf_boo                    Arcturus                    Star
urn:nasa:pds:context:target:star.alf_car                    Canopus                     Star
urn:nasa:pds:context:target:star.alf_cen                    Alpha Centauri              Star
urn:nasa:pds:context:target:star.alf_cet                    Alpha Ceti                  Star
urn:nasa:pds:context:target:star.alf_cma                    Sirius                      Star
urn:nasa:pds:context:target:star.alf_cmi                    Procyon                     Star
urn:nasa:pds:context:target:star.alf_cru                    Alpha Crucis                Star
urn:nasa:pds:context:target:star.alf_eri                    Alpha Eridani               Star
urn:nasa:pds:context:target:star.alf_her                    Alpha Herculis              Star
urn:nasa:pds:context:target:star.alf_hya                    Alpha Hydrae                Star
urn:nasa:pds:context:target:star.alf_leo                    Regulus                     Star
urn:nasa:pds:context:target:star.alf_lyr                    Vega                        Star
urn:nasa:pds:context:target:star.alf_ori                    Betelgeuse                  Star
urn:nasa:pds:context:target:star.alf_psa                    Fomalhaut                   Star
urn:nasa:pds:context:target:star.alf_sco                    Antares                     Star
urn:nasa:pds:context:target:star.alf_sex                    Alpha Sextantis             Star
urn:nasa:pds:context:target:star.alf_tau                    Aldebaran                   Star
urn:nasa:pds:context:target:star.alf_tra                    Alpha Trianguli Australis   Star
urn:nasa:pds:context:target:star.alf_vir                    Spica                       Star
urn:nasa:pds:context:target:star.bet_and                    Beta Andromedae             Star
urn:nasa:pds:context:target:star.bet_cen                    Beta Centauri               Star
urn:nasa:pds:context:target:star.bet_cma                    Beta Canis Majoris          Star
urn:nasa:pds:context:target:star.bet_cru                    Beta Crucis                 Star
urn:nasa:pds:context:target:star.bet_gru                    Beta Gruis                  Star
urn:nasa:pds:context:target:star.bet_lib                    Beta Librae                 Star
urn:nasa:pds:context:target:star.bet_lup                    Beta Lupi                   Star
urn:nasa:pds:context:target:star.bet_ori                    Beta Orionis                Star
urn:nasa:pds:context:target:star.bet_peg                    Beta Pegasi                 Star
urn:nasa:pds:context:target:star.bet_per                    Algol                       Star
urn:nasa:pds:context:target:star.bet_sgr                    Beta Sagittarii             Star
urn:nasa:pds:context:target:star.bet_umi                    Beta Ursae Minoris          Star
urn:nasa:pds:context:target:star.chi_aqr                    Chi Aquarii                 Star
urn:nasa:pds:context:target:star.chi_cen                    Chi Centauri                Star
urn:nasa:pds:context:target:star.chi_cyg                    Chi Cygni                   Star
urn:nasa:pds:context:target:star.cw_leo                     CW Leonis                   Star
urn:nasa:pds:context:target:star.del_aqr                    Delta Aquarii               Star
urn:nasa:pds:context:target:star.del_cen                    Delta Centauri              Star
urn:nasa:pds:context:target:star.del_lup                    Delta Lupi                  Star
urn:nasa:pds:context:target:star.del_oph                    Delta Ophiuchi              Star
urn:nasa:pds:context:target:star.del_per                    Delta Persei                Star
urn:nasa:pds:context:target:star.del_vir                    Delta Virginis              Star
urn:nasa:pds:context:target:star.eps_cas                    Epsilon Cassiopeiae         Star
urn:nasa:pds:context:target:star.eps_cen                    Epsilon Centauri            Star
urn:nasa:pds:context:target:star.eps_lup                    Epsilon Lupi                Star
urn:nasa:pds:context:target:star.eps_mus                    Epsilon Muscae              Star
urn:nasa:pds:context:target:star.eps_ori                    Epsilon Orionis             Star
urn:nasa:pds:context:target:star.eps_psa                    Epsilon Piscis Austrini     Star
urn:nasa:pds:context:target:star.eta_car                    Eta Carinae                 Star
urn:nasa:pds:context:target:star.eta_lup                    Eta Lupi                    Star
urn:nasa:pds:context:target:star.eta_sgr                    Eta Sagittarii              Star
urn:nasa:pds:context:target:star.eta_uma                    Eta Ursae Majoris           Star
urn:nasa:pds:context:target:star.gam_and                    Gamma Andromedae            Star
urn:nasa:pds:context:target:star.gam_ara                    Gamma Arae                  Star
urn:nasa:pds:context:target:star.gam_cas                    Gamma Cassiopeiae           Star
urn:nasa:pds:context:target:star.gam_col                    Gamma Columbae              Star
urn:nasa:pds:context:target:star.gam_cru                    Gamma Crucis                Star
urn:nasa:pds:context:target:star.gam_eri                    Gamma Eridani               Star
urn:nasa:pds:context:target:star.gam_gru                    Gamma Gruis                 Star
urn:nasa:pds:context:target:star.gam_lup                    Gamma Lupi                  Star
urn:nasa:pds:context:target:star.gam_peg                    Gamma Pegasi                Star
urn:nasa:pds:context:target:star.hd_339479                  HD 339479                   Star
urn:nasa:pds:context:target:star.hd_71334                   HD 71334                    Star
urn:nasa:pds:context:target:star.hr_996                     HR 996                      Star
urn:nasa:pds:context:target:star.io_cen                     Iota Centauri               Star
urn:nasa:pds:context:target:star.kap_cen                    Kappa Centauri              Star
urn:nasa:pds:context:target:star.kap_ori                    Kappa Orionis               Star
urn:nasa:pds:context:target:star.lam_aqr                    Lambda Aquarii              Star
urn:nasa:pds:context:target:star.lam_cet                    Lambda Ceti                 Star
urn:nasa:pds:context:target:star.lam_sco                    Lambda Scorpii              Star
urn:nasa:pds:context:target:star.lam_vel                    Lambda Velorum              Star
urn:nasa:pds:context:target:star.lmc_303                    LMC 303                     Star
urn:nasa:pds:context:target:star.mu_cep                     Mu Cephei                   Star
urn:nasa:pds:context:target:star.mu_gem                     Mu Geminorum                Star
urn:nasa:pds:context:target:star.mu_psa                     Mu Piscis Austrini          Star
urn:nasa:pds:context:target:star.nml_tau                    NML Tauri                   Star
urn:nasa:pds:context:target:star.nu_cen                     Nu Centauri                 Star
urn:nasa:pds:context:target:star.nu_vir                     Nu Virginis                 Star
urn:nasa:pds:context:target:star.ome_vir                    Omega Virginis              Star
urn:nasa:pds:context:target:star.omi_cet                    Omicron Ceti                Star
urn:nasa:pds:context:target:star.pi1_gru                    Pi1 Gruis                   Star
urn:nasa:pds:context:target:star.psi_cen                    Psi Centauri                Star
urn:nasa:pds:context:target:star.r_aqr                      R Aquarii                   Star
urn:nasa:pds:context:target:star.r_cas                      R Cassiopeiae               Star
urn:nasa:pds:context:target:star.r_dor                      R Doradus                   Star
urn:nasa:pds:context:target:star.r_hya                      R Hydrae                    Star
urn:nasa:pds:context:target:star.r_leo                      R Leo                       Star
urn:nasa:pds:context:target:star.r_lyr                      R Lyrae                     Star
urn:nasa:pds:context:target:star.rho_per                    Rho Persei                  Star
urn:nasa:pds:context:target:star.rw_lmi                     RW Leonis Minoris           Star
urn:nasa:pds:context:target:star.rx_lep                     RX Leporis                  Star
urn:nasa:pds:context:target:star.s_lep                      S Leporis                   Star
urn:nasa:pds:context:target:star.t_cep                      T Cephei                    Star
urn:nasa:pds:context:target:star.tet_ara                    Theta Arae                  Star
urn:nasa:pds:context:target:star.tet_hya                    Theta Hydrae                Star
urn:nasa:pds:context:target:star.tx_cam                     TX Camelopardalis           Star
urn:nasa:pds:context:target:star.v_hya                      V Hydrae                    Star
urn:nasa:pds:context:target:star.vx_sgr                     VX Sagittarii               Star
urn:nasa:pds:context:target:star.w_aql                      W Aquilae                   Star
urn:nasa:pds:context:target:star.w_hya                      W Hydrae                    Star
urn:nasa:pds:context:target:star.x_oph                      X Ophiuchi                  Star
urn:nasa:pds:context:target:star.zet_cen                    Zeta Centauri               Star
urn:nasa:pds:context:target:star.zet_cma                    Zeta Canis Majoris          Star
urn:nasa:pds:context:target:star.zet_oph                    Zeta Ophiuchi               Star
urn:nasa:pds:context:target:star.zet_ori                    Zeta Orionis                Star
urn:nasa:pds:context:target:star.zet_per                    Zeta Persei                 Star
urn:nasa:pds:context:target:sun.sun                         Sun                         Sun
