"1999_231_21_00","EARTH"
"1999_231_21_12","EARTH"
"1999_231_22_33","SOLAR WIND"
"1999_231_22_34","EARTH"
"1999_232_00_33","SOLAR WIND"
"1999_232_16_35","EARTH"
"1999_232_18_35","SOLAR WIND"
"1999_232_18_36","EARTH"
"1999_232_20_36","SOLAR WIND"
"1999_232_20_37","EARTH"
"1999_232_21_00","EARTH"
"1999_232_21_06","EARTH"
"1999_232_22_37","SOLAR WIND"
"1999_233_14_38","EARTH"
"1999_233_16_38","SOLAR WIND"
"1999_233_16_39","EARTH"
"1999_233_18_39","SOLAR WIND"
"1999_233_18_40","EARTH"
"1999_233_20_40","SOLAR WIND"
"1999_233_20_53","EARTH"
"1999_233_21_06","EARTH"
"1999_233_22_52","EARTH"
"1999_233_23_01","EARTH"
"1999_234_12_41","EARTH"
"1999_234_14_41","SOLAR WIND"
"1999_234_14_42","EARTH"
"1999_234_16_42","SOLAR WIND"
"1999_234_16_43","EARTH"
"1999_234_18_43","SOLAR WIND"
"1999_234_20_49","EARTH"
"1999_234_21_01","EARTH"
"1999_235_10_45","EARTH"
"1999_235_12_45","SOLAR WIND"
"1999_235_12_46","EARTH"
"1999_235_14_46","SOLAR WIND"
"1999_235_14_47","EARTH"
"1999_235_16_47","SOLAR WIND"
"1999_235_20_46","EARTH"
"1999_235_21_40","EARTH"
"1999_235_21_46","EARTH"
"1999_236_08_48","EARTH"
"1999_236_10_48","SOLAR WIND"
"1999_236_10_49","EARTH"
"1999_236_12_49","SOLAR WIND"
"1999_236_12_50","EARTH"
"1999_236_14_50","SOLAR WIND"
"1999_237_06_51","EARTH"
"1999_237_08_51","SOLAR WIND"
"1999_237_08_52","EARTH"
"1999_237_10_52","SOLAR WIND"
"1999_237_10_53","EARTH"
"1999_237_12_53","SOLAR WIND"
"1999_237_20_40","EARTH"
"1999_237_20_52","EARTH"
"1999_237_20_53","SOLAR WIND"
"1999_238_04_55","EARTH"
"1999_238_06_11","EARTH"
"1999_238_06_55","SOLAR WIND"
"1999_238_06_56","EARTH"
"1999_238_08_56","SOLAR WIND"
"1999_238_08_57","EARTH"
"1999_238_10_57","SOLAR WIND"
"1999_238_20_37","EARTH"
"1999_239_02_58","EARTH"
"1999_239_04_58","SOLAR WIND"
"1999_239_04_59","EARTH"
"1999_239_06_59","SOLAR WIND"
"1999_239_07_00","EARTH"
