"UVIS_000SA_MOS00SWAD001_PRIME","SATURN"
"UVIS_000SA_MOS00SWAD002_PRIME","SATURN"
"UVIS_000SA_MOS00SWAD003_PRIME","SATURN"
"UVIS_000SA_MOS00SWAE001_PRIME","SATURN"
"UVIS_000SA_MOS00SWAE002_PRIME","SATURN"
"UVIS_000SA_MOS00SWAE003_PRIME","SATURN"
"UVIS_000SA_MOS00SWB001_PRIME","SATURN"
"UVIS_000SA_MOS00SWB002_PRIME","SATURN"
"UVIS_000SA_MOS00SWB003_PRIME","SATURN"
"UVIS_000SA_MOS00WA001_PRIME","SATURN"
"UVIS_000SA_MOS00WA002_PRIME","SATURN"
"UVIS_000SA_MOS00WA003_PRIME","SATURN"
"UVIS_000SA_MOS00WB001_PRIME","SATURN"
"UVIS_000SA_MOS00WB002_PRIME","SATURN"
"UVIS_000SA_MOS00WB003_PRIME","SATURN"
"UVIS_000SA_MOS00WC001_PRIME","SATURN"
"UVIS_000SA_MOS00WC002_PRIME","SATURN"
"UVIS_000SA_MOS00WC003_PRIME","SATURN"
"UVIS_000SA_MOS00WD001_PRIME","SATURN"
"UVIS_000SA_MOS00WD002_PRIME","SATURN"
"UVIS_000SA_MOS00WD003_PRIME","SATURN"
"UVIS_000SA_MOS00WE001_PRIME","SATURN"
"UVIS_000SA_MOS00WE002_PRIME","SATURN"
"UVIS_000SA_MOS00WE003_PRIME","SATURN"
"UVIS_000SA_MOS00WF001_PRIME","SATURN"
"UVIS_000SA_MOS00WF002_PRIME","SATURN"
"UVIS_000SA_MOS00WF003_PRIME","SATURN"
"UVIS_000SA_MOS00WG001_PRIME","SATURN"
"UVIS_000SA_MOS00WG002_PRIME","SATURN"
"UVIS_000SA_MOS00WH002_PRIME","SATURN"
"UVIS_000SA_MOS04PER003_PRIME","SATURN"
"UVIS_000SA_MOS10PE004_PRIME","SATURN"
"UVIS_000SA_MOS10PE005_PRIME","SATURN"
"UVIS_000SA_MOS10PE006_PRIME","SATURN"
"UVIS_000SA_MOS10PE007_PRIME","SATURN"
"UVIS_000SA_MOS11PA001_PRIME","SATURN"
"UVIS_000SA_MOS11PA002_PRIME","SATURN"
"UVIS_000ST_ALPVIR003_PRIME","STAR"
"UVIS_000SW_IPHSURVEY001_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY002_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY003_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY004_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY005_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY006_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY007_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY008_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY009_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY010_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY011_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY012_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY013_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY014_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY015_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY016_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY017_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY018_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY019_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY020_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY021_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY022_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY023_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY024_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY025_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY026_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY026_RIDER","TITAN"
"UVIS_000SW_IPHSURVEY027_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY028_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY029_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY030_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY031_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY032_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY036_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY037_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY040_RIDER","SOLAR WIND"
"UVIS_000SW_IPHSURVEY041_RIDER","SOLAR WIND"
