# TDB, UTC, DOY, new-SCLK, old-SCLK, difference
        0 2000-01-01T11:58:55.816073 001 1325419621.478730 1325419621.450118  0.028612
    20000 2000-01-01T17:32:15.816066 001 1325439621.611705 1325439621.582854  0.028851
    40000 2000-01-01T23:05:35.816059 001 1325459621.744680 1325459621.715589  0.029090
    60000 2000-01-02T04:38:55.816053 002 1325479621.877654 1325479621.848325  0.029330
    80000 2000-01-02T10:12:15.816046 002 1325499622.010629 1325499621.981060  0.029569
   100000 2000-01-02T15:45:35.816039 002 1325519622.143604 1325519622.113796  0.029808
   120000 2000-01-02T21:18:55.816033 002 1325539622.276579 1325539622.246531  0.030048
   140000 2000-01-03T02:52:15.816026 003 1325559622.409554 1325559622.379267  0.030287
   160000 2000-01-03T08:25:35.816019 003 1325579622.542528 1325579622.512002  0.030526
   180000 2000-01-03T13:58:55.816012 003 1325599622.675503 1325599622.644737  0.030766
   200000 2000-01-03T19:32:15.816006 003 1325619622.808478 1325619622.777473  0.031005
   220000 2000-01-04T01:05:35.815999 004 1325639622.941453 1325639622.910208  0.031245
   240000 2000-01-04T06:38:55.815992 004 1325659623.074428 1325659623.042944  0.031484
   260000 2000-01-04T12:12:15.815986 004 1325679623.207402 1325679623.175679  0.031723
   280000 2000-01-04T17:45:35.815979 004 1325699623.340377 1325699623.308415  0.031963
   300000 2000-01-04T23:18:55.815972 004 1325719623.473352 1325719623.441150  0.032202
   320000 2000-01-05T04:52:15.815965 005 1325739623.606327 1325739623.573886  0.032441
   340000 2000-01-05T10:25:35.815959 005 1325759623.739302 1325759623.706621  0.032681
   360000 2000-01-05T15:58:55.815952 005 1325779623.872277 1325779623.839357  0.032920
   380000 2000-01-05T21:32:15.815945 005 1325799624.005251 1325799623.972092  0.033159
   400000 2000-01-06T03:05:35.815939 006 1325819624.138226 1325819624.104827  0.033399
   420000 2000-01-06T08:38:55.815932 006 1325839624.271201 1325839624.237563  0.033638
   440000 2000-01-06T14:12:15.815925 006 1325859624.404176 1325859624.370298  0.033877
   460000 2000-01-06T19:45:35.815919 006 1325879624.537151 1325879624.503034  0.034117
   480000 2000-01-07T01:18:55.815912 007 1325899624.670125 1325899624.635769  0.034356
   500000 2000-01-07T06:52:15.815905 007 1325919624.803100 1325919624.768505  0.034595
   520000 2000-01-07T12:25:35.815898 007 1325939624.936075 1325939624.901240  0.034835
   540000 2000-01-07T17:58:55.815892 007 1325959625.069050 1325959625.033976  0.035074
   560000 2000-01-07T23:32:15.815885 007 1325979625.202024 1325979625.166711  0.035313
   580000 2000-01-08T05:05:35.815878 008 1325999625.334999 1325999625.299447  0.035553
   600000 2000-01-08T10:38:55.815872 008 1326019625.467974 1326019625.432182  0.035792
   620000 2000-01-08T16:12:15.815865 008 1326039625.600949 1326039625.564918  0.036031
   640000 2000-01-08T21:45:35.815858 008 1326059625.733924 1326059625.697653  0.036271
   660000 2000-01-09T03:18:55.815852 009 1326079625.866899 1326079625.830389  0.036510
   680000 2000-01-09T08:52:15.815845 009 1326099625.999873 1326099625.963124  0.036749
   700000 2000-01-09T14:25:35.815838 009 1326119626.132848 1326119626.095859  0.036989
   720000 2000-01-09T19:58:55.815832 009 1326139626.265823 1326139626.228595  0.037228
   740000 2000-01-10T01:32:15.815825 010 1326159626.398798 1326159626.361330  0.037468
   760000 2000-01-10T07:05:35.815818 010 1326179626.531773 1326179626.494066  0.037707
   780000 2000-01-10T12:38:55.815812 010 1326199626.664747 1326199626.626801  0.037946
   800000 2000-01-10T18:12:15.815805 010 1326219626.797722 1326219626.759537  0.038186
   820000 2000-01-10T23:45:35.815798 010 1326239626.930697 1326239626.892272  0.038425
   840000 2000-01-11T05:18:55.815792 011 1326259627.063672 1326259627.025007  0.038664
   860000 2000-01-11T10:52:15.815785 011 1326279627.196647 1326279627.157743  0.038904
   880000 2000-01-11T16:25:35.815778 011 1326299627.329622 1326299627.290478  0.039143
   900000 2000-01-11T21:58:55.815772 011 1326319627.462596 1326319627.423214  0.039382
   920000 2000-01-12T03:32:15.815765 012 1326339627.595571 1326339627.555949  0.039622
   940000 2000-01-12T09:05:35.815758 012 1326359627.728546 1326359627.688685  0.039861
   960000 2000-01-12T14:38:55.815752 012 1326379627.861521 1326379627.821420  0.040100
   980000 2000-01-12T20:12:15.815745 012 1326399627.994495 1326399627.954156  0.040340
  1000000 2000-01-13T01:45:35.815738 013 1326419628.127470 1326419628.086891  0.040579
  1020000 2000-01-13T07:18:55.815732 013 1326439628.260445 1326439628.219627  0.040818
  1040000 2000-01-13T12:52:15.815725 013 1326459628.393420 1326459628.352362  0.041058
  1060000 2000-01-13T18:25:35.815719 013 1326479628.526395 1326479628.485098  0.041297
  1080000 2000-01-13T23:58:55.815712 013 1326499628.659369 1326499628.617833  0.041536
  1100000 2000-01-14T05:32:15.815705 014 1326519628.792344 1326519628.750569  0.041776
  1120000 2000-01-14T11:05:35.815699 014 1326539628.925319 1326539628.883304  0.042015
  1140000 2000-01-14T16:38:55.815692 014 1326559629.058294 1326559629.016039  0.042254
  1160000 2000-01-14T22:12:15.815686 014 1326579629.191269 1326579629.148775  0.042494
  1180000 2000-01-15T03:45:35.815679 015 1326599629.324244 1326599629.281510  0.042733
  1200000 2000-01-15T09:18:55.815672 015 1326619629.457218 1326619629.414246  0.042972
  1220000 2000-01-15T14:52:15.815666 015 1326639629.590193 1326639629.546981  0.043212
  1240000 2000-01-15T20:25:35.815659 015 1326659629.723168 1326659629.679717  0.043451
  1260000 2000-01-16T01:58:55.815653 016 1326679629.856143 1326679629.812452  0.043691
